Measurement conditions,,,
Sample identification,m-M1-As Noturn 06-04-23,,
7.12638902,48.195,4544,67.4092
7.13725546,48.195,4630,68.0441
7.1481219,48.195,4675,68.374
7.15898834,48.195,4659,68.2569
7.16985478,48.195,4674,68.3667
7.18072122,48.195,4749,68.913
7.19158766,48.195,4684,68.4398
7.2024541,48.195,4663,68.2862
7.21332054,48.195,4743,68.8694
7.22418698,48.195,4675,68.374
7.23505342,48.195,4598,67.8086
7.24591986,48.195,4567,67.5796
7.2567863,48.195,4748,68.9057
7.26765274,48.195,4675,68.374
7.27851918,48.195,4741,68.8549
7.28938562,48.195,4658,68.2495
7.30025206,48.195,4795,69.2459
7.3111185,48.195,4760,68.9928
7.32198494,48.195,4712,68.644
7.33285138,48.195,4636,68.0882
7.34371782,48.195,4572,67.6166
7.35458426,48.195,4717,68.6804
7.3654507,48.195,4667,68.3154
7.37631714,48.195,4732,68.7895
7.38718358,48.195,4776,69.1086
7.39805002,48.195,4707,68.6076
7.40891646,48.195,4882,69.8713
7.4197829,48.195,4798,69.2676
7.43064934,48.195,4731,68.7823
7.44151578,48.195,4692,68.4982
7.45238222,48.195,4775,69.1014
7.46324866,48.195,4838,69.5557
7.4741151,48.195,4803,69.3037
7.48498154,48.195,4762,69.0072
7.49584798,48.195,4795,69.2459
7.50671442,48.195,4649,68.1836
7.51758086,48.195,4852,69.6563
7.5284473,48.195,4751,68.9275
7.53931374,48.195,4930,70.214
7.55018018,48.195,4719,68.695
7.56104662,48.195,4847,69.6204
7.57191306,48.195,4787,69.1881
7.5827795,48.195,4895,69.9643
7.59364594,48.195,4876,69.8284
7.60451238,48.195,4894,69.9571
7.61537882,48.195,4854,69.6707
7.62624526,48.195,4839,69.5629
7.6371117,48.195,4794,69.2387
7.64797814,48.195,5005,70.746
7.65884458,48.195,4862,69.728
7.66971102,48.195,4785,69.1737
7.68057746,48.195,4853,69.6635
7.6914439,48.195,4955,70.3918
7.70231034,48.195,4839,69.5629
7.71317678,48.195,4872,69.7997
7.72404322,48.195,4882,69.8713
7.73490966,48.195,4951,70.3633
7.7457761,48.195,4951,70.3633
7.75664254,48.195,4910,70.0714
7.76750898,48.195,4825,69.4622
7.77837542,48.195,4941,70.2922
7.78924186,48.195,5007,70.7602
7.8001083,48.195,5068,71.1899
7.81097474,48.195,4970,70.4982
7.82184118,48.195,4980,70.5691
7.83270762,48.195,4812,69.3686
7.84357406,48.195,4932,70.2282
7.8544405,48.195,4780,69.1375
7.86530694,48.195,4969,70.4911
7.87617338,48.195,4897,69.9786
7.88703982,48.195,5130,71.624
7.89790626,48.195,4901,70.0071
7.9087727,48.195,5026,70.8943
7.91963914,48.195,4901,70.0071
7.93050558,48.195,4907,70.05
7.94137202,48.195,5059,71.1266
7.95223846,48.195,4889,69.9214
7.9631049,48.195,5003,70.7319
7.97397134,48.195,4967,70.4769
7.98483778,48.195,4791,69.217
7.99570422,48.195,5068,71.1899
8.00657066,48.195,4852,69.6563
8.0174371,48.195,5118,71.5402
8.02830354,48.195,4869,69.7782
8.03916998,48.195,5088,71.3302
8.05003642,48.195,5114,71.5122
8.06090286,48.195,5127,71.6031
8.0717693,48.195,5004,70.739
8.08263574,48.195,5083,71.2952
8.09350218,48.195,5138,71.6798
8.10436862,48.195,5049,71.0563
8.11523506,48.195,4986,70.6116
8.1261015,48.195,5134,71.6519
8.13696794,48.195,4987,70.6187
8.14783438,48.195,5141,71.7008
8.15870082,48.195,5007,70.7602
8.16956726,48.195,5169,71.8958
8.1804337,48.195,5110,71.4843
8.19130014,48.195,5050,71.0634
8.20216658,48.195,5147,71.7426
8.21303302,48.195,5100,71.4143
8.22389946,48.195,5050,71.0634
8.2347659,48.195,5189,72.0347
8.24563234,48.195,5224,72.2772
8.25649878,48.195,4955,70.3918
8.26736522,48.195,5110,71.4843
8.27823166,48.195,5123,71.5751
8.2890981,48.195,5153,71.7844
8.29996454,48.195,5081,71.2811
8.31083098,48.195,5262,72.5396
8.32169742,48.195,5174,71.9305
8.33256386,48.195,5134,71.6519
8.3434303,48.195,5121,71.5612
8.35429674,48.195,5136,71.6659
8.36516318,48.195,5137,71.6729
8.37602962,48.195,5206,72.1526
8.38689606,48.195,5365,73.2462
8.3977625,48.195,5193,72.0625
8.40862894,48.195,5026,70.8943
8.41949538,48.195,5194,72.0694
8.43036182,48.195,5136,71.6659
8.44122826,48.195,5058,71.1196
8.4520947,48.195,5190,72.0417
8.46296114,48.195,5206,72.1526
8.47382758,48.195,5249,72.45
8.48469402,48.195,5205,72.1457
8.49556046,48.195,5144,71.7217
8.5064269,48.195,5444,73.7835
8.51729334,48.195,5063,71.1548
8.52815978,48.195,5237,72.3671
8.53902622,48.195,5143,71.7147
8.54989266,48.195,5184,72
8.5607591,48.195,5187,72.0208
8.57162554,48.195,5136,71.6659
8.58249198,48.195,5114,71.5122
8.59335842,48.195,5249,72.45
8.60422486,48.195,5282,72.6774
8.6150913,48.195,5154,71.7914
8.62595774,48.195,5243,72.4086
8.63682418,48.195,5120,71.5542
8.64769062,48.195,5121,71.5612
8.65855706,48.195,5067,71.1829
8.6694235,48.195,5141,71.7008
8.68028994,48.195,5198,72.0972
8.69115638,48.195,5315,72.904
8.70202282,48.195,5310,72.8697
8.71288926,48.195,5446,73.797
8.7237557,48.195,5263,72.5465
8.73462214,48.195,5228,72.3049
8.74548858,48.195,5255,72.4914
8.75635502,48.195,5093,71.3653
8.76722146,48.195,5358,73.1984
8.7780879,48.195,5239,72.3809
8.78895434,48.195,5272,72.6085
8.79982078,48.195,5244,72.4155
8.81068722,48.195,5253,72.4776
8.82155366,48.195,5264,72.5534
8.8324201,48.195,5253,72.4776
8.84328654,48.195,5237,72.3671
8.85415298,48.195,5207,72.1595
8.86501942,48.195,5173,71.9236
8.87588586,48.195,5275,72.6292
8.8867523,48.195,5333,73.0274
8.89761874,48.195,5333,73.0274
8.90848518,48.195,5263,72.5465
8.91935162,48.195,5416,73.5935
8.93021806,48.195,5320,72.9383
8.9410845,48.195,5258,72.5121
8.95195094,48.195,5275,72.6292
8.96281738,48.195,5272,72.6085
8.97368382,48.195,5385,73.3826
8.98455026,48.195,5244,72.4155
8.9954167,48.195,5288,72.7186
9.00628314,48.195,5404,73.5119
9.01714958,48.195,5352,73.1574
9.02801602,48.195,5307,72.8492
9.03888246,48.195,5276,72.6361
9.0497489,48.195,5414,73.5799
9.06061534,48.195,5266,72.5672
9.07148178,48.195,5284,72.6911
9.08234822,48.195,5203,72.1318
9.09321466,48.195,5370,73.2803
9.1040811,48.195,5443,73.7767
9.11494754,48.195,5368,73.2666
9.12581398,48.195,5313,72.8903
9.13668042,48.195,5299,72.7942
9.14754686,48.195,5369,73.2735
9.1584133,48.195,5258,72.5121
9.16927974,48.195,5370,73.2803
9.18014618,48.195,5306,72.8423
9.19101262,48.195,5368,73.2666
9.20187906,48.195,5416,73.5935
9.2127455,48.195,5271,72.6017
9.22361194,48.195,5297,72.7805
9.23447838,48.195,5460,73.8918
9.24534482,48.195,5382,73.3621
9.25621126,48.195,5403,73.5051
9.2670777,48.195,5409,73.5459
9.27794414,48.195,5377,73.328
9.28881058,48.195,5369,73.2735
9.29967702,48.195,5337,73.0548
9.31054346,48.195,5352,73.1574
9.3214099,48.195,5449,73.8173
9.33227634,48.195,5286,72.7049
9.34314278,48.195,5326,72.9794
9.35400922,48.195,5211,72.1873
9.36487566,48.195,5289,72.7255
9.3757421,48.195,5518,74.2832
9.38660854,48.195,5280,72.6636
9.39747498,48.195,5584,74.7262
9.40834142,48.195,5500,74.162
9.41920786,48.195,5348,73.13
9.4300743,48.195,5586,74.7395
9.44094074,48.195,5431,73.6953
9.45180718,48.195,5486,74.0675
9.46267362,48.195,5519,74.29
9.47354006,48.195,5378,73.3348
9.4844065,48.195,5460,73.8918
9.49527294,48.195,5489,74.0878
9.50613938,48.195,5446,73.797
9.51700582,48.195,5465,73.9256
9.52787226,48.195,5386,73.3894
9.5387387,48.195,5499,74.1552
9.54960514,48.195,5448,73.8106
9.56047158,48.195,5529,74.3572
9.57133802,48.195,5590,74.7663
9.58220446,48.195,5460,73.8918
9.5930709,48.195,5483,74.0473
9.60393734,48.195,5443,73.7767
9.61480378,48.195,5502,74.1755
9.62567022,48.195,5466,73.9324
9.63653666,48.195,5542,74.4446
9.6474031,48.195,5528,74.3505
9.65826954,48.195,5456,73.8647
9.66913598,48.195,5495,74.1283
9.68000242,48.195,5478,74.0135
9.69086886,48.195,5402,73.4983
9.7017353,48.195,5435,73.7225
9.71260174,48.195,5572,74.6458
9.72346818,48.195,5275,72.6292
9.73433462,48.195,5477,74.0068
9.74520106,48.195,5398,73.4711
9.7560675,48.195,5356,73.1847
9.76693394,48.195,5496,74.135
9.77780038,48.195,5369,73.2735
9.78866682,48.195,5494,74.1215
9.79953326,48.195,5456,73.8647
9.8103997,48.195,5396,73.4575
9.82126614,48.195,5545,74.4648
9.83213258,48.195,5575,74.6659
9.84299902,48.195,5435,73.7225
9.85386546,48.195,5397,73.4643
9.8647319,48.195,5588,74.7529
9.87559834,48.195,5515,74.263
9.88646478,48.195,5502,74.1755
9.89733122,48.195,5599,74.8265
9.90819766,48.195,5480,74.027
9.9190641,48.195,5594,74.793
9.92993054,48.195,5536,74.4043
9.94079698,48.195,5554,74.5252
9.95166342,48.195,5511,74.2361
9.96252986,48.195,5612,74.9133
9.9733963,48.195,5540,74.4312
9.98426274,48.195,5547,74.4782
9.99512918,48.195,5490,74.0945
10.00599562,48.195,5578,74.686
10.01686206,48.195,5544,74.458
10.0277285,48.195,5646,75.1399
10.03859494,48.195,5493,74.1148
10.04946138,48.195,5643,75.1199
10.06032782,48.195,5589,74.7596
10.07119426,48.195,5478,74.0135
10.0820607,48.195,5573,74.6525
10.09292714,48.195,5640,75.0999
10.10379358,48.195,5545,74.4648
10.11466002,48.195,5700,75.4983
10.12552646,48.195,5644,75.1266
10.1363929,48.195,5602,74.8465
10.14725934,48.195,5588,74.7529
10.15812578,48.195,5685,75.3989
10.16899222,48.195,5557,74.5453
10.17985866,48.195,5778,76.0132
10.1907251,48.195,5682,75.379
10.20159154,48.195,5563,74.5855
10.21245798,48.195,5517,74.2765
10.22332442,48.195,5483,74.0473
10.23419086,48.195,5488,74.081
10.2450573,48.195,5418,73.6071
10.25592374,48.195,5573,74.6525
10.26679018,48.195,5756,75.8683
10.27765662,48.195,5662,75.2463
10.28852306,48.195,5585,74.7329
10.2993895,48.195,5534,74.3909
10.31025594,48.195,5592,74.7797
10.32112238,48.195,5653,75.1864
10.33198882,48.195,5547,74.4782
10.34285526,48.195,5756,75.8683
10.3537217,48.195,5507,74.2092
10.36458814,48.195,5492,74.108
10.37545458,48.195,5629,75.0267
10.38632102,48.195,5477,74.0068
10.39718746,48.195,5600,74.8331
10.4080539,48.195,5627,75.0133
10.41892034,48.195,5657,75.213
10.42978678,48.195,5510,74.2294
10.44065322,48.195,5595,74.7997
10.45151966,48.195,5527,74.3438
10.4623861,48.195,5778,76.0132
10.47325254,48.195,5608,74.8866
10.48411898,48.195,5741,75.7694
10.49498542,48.195,5631,75.04
10.50585186,48.195,5686,75.4056
10.5167183,48.195,5571,74.6391
10.52758474,48.195,5541,74.4379
10.53845118,48.195,5710,75.5645
10.54931762,48.195,5656,75.2064
10.56018406,48.195,5825,76.3217
10.5710505,48.195,5668,75.2861
10.58191694,48.195,5702,75.5116
10.59278338,48.195,5595,74.7997
10.60364982,48.195,5609,74.8933
10.61451626,48.195,5795,76.1249
10.6253827,48.195,5629,75.0267
10.63624914,48.195,5660,75.233
10.64711558,48.195,5810,76.2234
10.65798202,48.195,5674,75.326
10.66884846,48.195,5747,75.809
10.6797149,48.195,5713,75.5844
10.69058134,48.195,5759,75.8881
10.70144778,48.195,5622,74.98
10.71231422,48.195,5757,75.8749
10.72318066,48.195,5742,75.776
10.7340471,48.195,5890,76.7463
10.74491354,48.195,5666,75.2728
10.75577998,48.195,5610,74.8999
10.76664642,48.195,5553,74.5185
10.77751286,48.195,5573,74.6525
10.7883793,48.195,5649,75.1598
10.79924574,48.195,5610,74.8999
10.81011218,48.195,5779,76.0197
10.82097862,48.195,5661,75.2396
10.83184506,48.195,5600,74.8331
10.8427115,48.195,5645,75.1332
10.85357794,48.195,5581,74.7061
10.86444438,48.195,5759,75.8881
10.87531082,48.195,5849,76.4788
10.88617726,48.195,5601,74.8398
10.8970437,48.195,5840,76.4199
10.90791014,48.195,5691,75.4387
10.91877658,48.195,5553,74.5185
10.92964302,48.195,5619,74.96
10.94050946,48.195,5834,76.3806
10.9513759,48.195,5646,75.1399
10.96224234,48.195,5852,76.4984
10.97310878,48.195,5762,75.9078
10.98397522,48.195,5734,75.7232
10.99484166,48.195,5660,75.233
11.0057081,48.195,5722,75.6439
11.01657454,48.195,5825,76.3217
11.02744098,48.195,5662,75.2463
11.03830742,48.195,5783,76.046
11.04917386,48.195,5838,76.4068
11.0600403,48.195,5695,75.4652
11.07090674,48.195,5584,74.7262
11.08177318,48.195,5813,76.243
11.09263962,48.195,5618,74.9533
11.10350606,48.195,5658,75.2197
11.1143725,48.195,5768,75.9474
11.12523894,48.195,5757,75.8749
11.13610538,48.195,5957,77.1816
11.14697182,48.195,5797,76.138
11.15783826,48.195,5796,76.1315
11.1687047,48.195,5975,77.2981
11.17957114,48.195,5764,75.921
11.19043758,48.195,5872,76.629
11.20130402,48.195,5894,76.7724
11.21217046,48.195,5896,76.7854
11.2230369,48.195,6110,78.1665
11.23390334,48.195,5995,77.4274
11.24476978,48.195,6121,78.2368
11.25563622,48.195,5984,77.3563
11.26650266,48.195,6074,77.9359
11.2773691,48.195,6098,78.0897
11.28823554,48.195,6303,79.3914
11.29910198,48.195,6119,78.224
11.30996842,48.195,6268,79.1707
11.32083486,48.195,6194,78.702
11.3317013,48.195,6122,78.2432
11.34256774,48.195,6300,79.3725
11.35343418,48.195,6227,78.9113
11.36430062,48.195,6269,79.177
11.37516706,48.195,6170,78.5493
11.3860335,48.195,6160,78.4857
11.39689994,48.195,6305,79.404
11.40776638,48.195,6317,79.4796
11.41863282,48.195,6281,79.2528
11.42949926,48.195,6119,78.224
11.4403657,48.195,6266,79.1581
11.45123214,48.195,6333,79.5801
11.46209858,48.195,6444,80.2745
11.47296502,48.195,6516,80.7217
11.48383146,48.195,6571,81.0617
11.4946979,48.195,6487,80.5419
11.50556434,48.195,6630,81.4248
11.51643078,48.195,6780,82.3408
11.52729722,48.195,6870,82.8855
11.53816366,48.195,6973,83.5045
11.5490301,48.195,7196,84.8292
11.55989654,48.195,7312,85.5102
11.57076298,48.195,7459,86.3655
11.58162942,48.195,7801,88.3233
11.59249586,48.195,8058,89.7664
11.6033623,48.195,8411,91.7115
11.61422874,48.195,8504,92.2171
11.62509518,48.195,8459,91.9728
11.63596162,48.195,8474,92.0543
11.64682806,48.195,8432,91.8259
11.6576945,48.195,8642,92.9624
11.66856094,48.195,8813,93.8776
11.67942738,48.195,9273,96.2964
11.69029382,48.195,9791,98.9495
11.70116026,48.195,10520,102.5671
11.7120267,48.195,10502,102.4793
11.72289314,48.195,11157,105.6267
11.73375958,48.195,10634,103.1213
11.74462602,48.195,10244,101.2126
11.75549246,48.195,9438,97.1494
11.7663589,48.195,10000,100
11.77722534,48.195,10164,100.8167
11.78809178,48.195,10647,103.1843
11.79895822,48.195,11467,107.0841
11.80982466,48.195,12256,110.7068
11.8206911,48.195,13181,114.8085
11.83155754,48.195,14236,119.3147
11.84242398,48.195,15439,124.2538
11.85329042,48.195,16705,129.2478
11.86415686,48.195,17401,131.9129
11.8750233,48.195,17054,130.591
11.88588974,48.195,14931,122.1925
11.89675618,48.195,12333,111.054
11.90762262,48.195,10279,101.3854
11.91848906,48.195,8433,91.8314
11.9293555,48.195,7394,85.9884
11.94022194,48.195,6371,79.8185
11.95108838,48.195,6378,79.8624
11.96195482,48.195,6285,79.278
11.97282126,48.195,6252,79.0696
11.9836877,48.195,5973,77.2852
11.99455414,48.195,6139,78.3518
12.00542058,48.195,6084,78
12.01628702,48.195,6028,77.6402
12.02715346,48.195,6040,77.7174
12.0380199,48.195,6144,78.3837
12.04888634,48.195,6046,77.756
12.05975278,48.195,5982,77.3434
12.07061922,48.195,5980,77.3305
12.08148566,48.195,6033,77.6724
12.0923521,48.195,6060,77.846
12.10321854,48.195,6099,78.0961
12.11408498,48.195,6005,77.4919
12.12495142,48.195,6103,78.1217
12.13581786,48.195,6235,78.962
12.1466843,48.195,6085,78.0064
12.15755074,48.195,6180,78.613
12.16841718,48.195,6140,78.3582
12.17928362,48.195,6052,77.7946
12.19015006,48.195,6160,78.4857
12.2010165,48.195,6117,78.2113
12.21188294,48.195,6023,77.608
12.22274938,48.195,6020,77.5887
12.23361582,48.195,5970,77.2658
12.24448226,48.195,5945,77.1038
12.2553487,48.195,6002,77.4726
12.26621514,48.195,6089,78.032
12.27708158,48.195,5949,77.1298
12.28794802,48.195,6037,77.6981
12.29881446,48.195,6024,77.6144
12.3096809,48.195,6086,78.0128
12.32054734,48.195,5879,76.6746
12.33141378,48.195,6036,77.6917
12.34228022,48.195,5971,77.2722
12.35314666,48.195,6029,77.6466
12.3640131,48.195,6067,77.8909
12.37487954,48.195,6019,77.5822
12.38574598,48.195,5947,77.1168
12.39661242,48.195,6059,77.8396
12.40747886,48.195,6198,78.7274
12.4183453,48.195,6109,78.1601
12.42921174,48.195,6119,78.224
12.44007818,48.195,6041,77.7239
12.45094462,48.195,6039,77.711
12.46181106,48.195,6161,78.492
12.4726775,48.195,6146,78.3964
12.48354394,48.195,6091,78.0449
12.49441038,48.195,6056,77.8203
12.50527682,48.195,5915,76.909
12.51614326,48.195,5974,77.2917
12.5270097,48.195,6006,77.4984
12.53787614,48.195,6073,77.9295
12.54874258,48.195,6099,78.0961
12.55960902,48.195,6083,77.9936
12.57047546,48.195,6147,78.4028
12.5813419,48.195,5865,76.5833
12.59220834,48.195,6026,77.6273
12.60307478,48.195,6193,78.6956
12.61394122,48.195,6043,77.7367
12.62480766,48.195,6052,77.7946
12.6356741,48.195,6057,77.8267
12.64654054,48.195,6152,78.4347
12.65740698,48.195,6117,78.2113
12.66827342,48.195,6130,78.2943
12.67913986,48.195,6058,77.8332
12.6900063,48.195,6137,78.339
12.70087274,48.195,6201,78.7464
12.71173918,48.195,6364,79.7747
12.72260562,48.195,6043,77.7367
12.73347206,48.195,6230,78.9303
12.7443385,48.195,6191,78.6829
12.75520494,48.195,6265,79.1518
12.76607138,48.195,6103,78.1217
12.77693782,48.195,6298,79.3599
12.78780426,48.195,6208,78.7909
12.7986707,48.195,6068,77.8974
12.80953714,48.195,6188,78.6638
12.82040358,48.195,6137,78.339
12.83127002,48.195,6109,78.1601
12.84213646,48.195,6178,78.6003
12.8530029,48.195,6198,78.7274
12.86386934,48.195,6230,78.9303
12.87473578,48.195,6140,78.3582
12.88560222,48.195,6211,78.8099
12.89646866,48.195,6099,78.0961
12.9073351,48.195,6336,79.599
12.91820154,48.195,6270,79.1833
12.92906798,48.195,6234,78.9557
12.93993442,48.195,6195,78.7083
12.95080086,48.195,6219,78.8606
12.9616673,48.195,6349,79.6806
12.97253374,48.195,6384,79.8999
12.98340018,48.195,6222,78.8797
12.99426662,48.195,6206,78.7782
13.00513306,48.195,6407,80.0437
13.0159995,48.195,6245,79.0253
13.02686594,48.195,6304,79.3977
13.03773238,48.195,6209,78.7972
13.04859882,48.195,6254,79.0822
13.05946526,48.195,6292,79.3221
13.0703317,48.195,6285,79.278
13.08119814,48.195,6360,79.7496
13.09206458,48.195,6204,78.7655
13.10293102,48.195,6315,79.467
13.11379746,48.195,6383,79.8937
13.1246639,48.195,6325,79.5299
13.13553034,48.195,6303,79.3914
13.14639678,48.195,6394,79.9625
13.15726322,48.195,6155,78.4538
13.16812966,48.195,6194,78.702
13.1789961,48.195,6383,79.8937
13.18986254,48.195,6337,79.6053
13.20072898,48.195,6521,80.7527
13.21159542,48.195,6356,79.7245
13.22246186,48.195,6361,79.7559
13.2333283,48.195,6383,79.8937
13.24419474,48.195,6523,80.7651
13.25506118,48.195,6208,78.7909
13.26592762,48.195,6668,81.6578
13.27679406,48.195,6311,79.4418
